month,lse_tone_mean,lse_pos_sum,lse_neg_sum,lse_unc_sum,vader_compound_mean,tb_polarity_mean,speech_count,ftse250_close,ftse100_close,ftse250_mean_close,period,ftse100_mean_close,cpih_annual_rate
2007-06-01,0.031317466558518275,355.0,340.0,337.0,0.9996600000000001,0.1002327875034735,5,11730.268095238096,6395.05875,11730.268095238096,Pre-Brexit (benign),6395.05875,2.5
2007-07-01,-0.027142795688612303,585.0,664.0,570.0,0.6669666666666667,0.10235427482394167,6,11642.255454545455,6353.011428571429,11642.255454545455,Pre-Brexit (benign),6353.011428571429,2.0
2007-09-01,-0.24912807318467697,134.0,261.0,94.0,-4.999999999999449e-05,0.10356849640687227,2,11089.73,6409.73375,11089.73,Pre-Brexit (benign),6409.73375,2.0
2007-10-01,-0.33554004909025403,189.0,394.0,272.0,0.6067750000000001,0.08384972671850793,4,11411.31347826087,6388.0325,11411.31347826087,Pre-Brexit (benign),6388.0325,2.3
2007-11-01,-0.20231021494902268,168.0,241.0,180.0,0.9997333333333334,0.08956610697602574,3,10814.084090909091,6491.7225,10814.084090909091,Pre-Brexit (benign),6491.7225,2.2
2007-12-01,-0.2774566473988439,62.0,110.0,101.0,0.9999,0.08952726289620051,1,10480.522631578948,6439.485,10480.522631578948,Pre-Brexit (benign),6439.485,2.3
2008-01-01,-0.4935330156569095,62.0,192.0,89.0,0.7997,0.07741137539002002,2,9880.499090909092,5428.94375,9880.499090909092,Pre-Brexit (benign),5428.94375,2.4
2008-01-01,-0.4935330156569095,62.0,192.0,89.0,0.7997,0.07741137539002002,2,9880.499090909092,5428.94375,9880.499090909092,Pre-Brexit (benign),5428.94375,3.5
2008-02-01,-0.18780126022783264,275.0,384.0,332.0,0.9384599999999998,0.1021326401866139,5,10079.410476190476,5574.485,10079.410476190476,Pre-Brexit (benign),5574.485,2.6
2008-03-01,-0.11285803237858032,81.0,107.0,43.0,0.9984,0.08643899581163667,2,9809.285789473684,5424.085555555556,9809.285789473684,Pre-Brexit (benign),5424.085555555556,2.6
2008-04-01,-0.2692737545826714,351.0,640.0,500.0,0.9994000000000001,0.08473843308077851,6,10096.67909090909,5495.780000000001,10096.67909090909,Pre-Brexit (benign),5495.780000000001,3.0
2008-06-01,-0.25037430694644447,139.0,254.0,145.0,0.998525,0.09546731135124158,4,9553.703333333335,5444.495714285715,9553.703333333335,Pre-Brexit (benign),5444.495714285715,3.7
2008-07-01,-0.11169334305931614,298.0,392.0,365.0,0.9996600000000001,0.08163779804453633,5,8716.34,5555.095555555556,8716.34,Pre-Brexit (benign),5555.095555555556,4.2
2008-09-01,-0.3833758881184307,238.0,514.0,434.0,0.60346,0.07825784240212282,5,8746.298181818182,5497.39375,8746.298181818182,Pre-Brexit (benign),5497.39375,4.8
2008-10-01,-0.4564402384389791,246.0,662.0,238.0,0.53484,0.07973689102722288,5,6706.872173913043,5235.604444444445,6706.872173913043,Pre-Brexit (benign),5235.604444444445,4.2
2008-11-01,-0.36535738936791706,166.0,328.0,135.0,0.99705,0.07338422830468463,4,6147.33,5397.6050000000005,6147.33,Pre-Brexit (benign),5397.6050000000005,3.8
