Date,Open,High,Low,Close,Volume
15/8/2022,7500.89,7539.21,7463.51,7509.15,574485442
16/8/2022,7509.15,7563.67,7509.15,7536.06,489502872
17/8/2022,7536.06,7554.04,7501.54,7515.75,445209629
18/8/2022,7515.75,7541.89,7493.66,7541.85,487926553
19/8/2022,7541.85,7578.85,7513.26,7550.37,468149970
22/8/2022,7550.37,7550.41,7491.26,7533.79,412195347
23/8/2022,7533.79,7533.79,7467.56,7488.11,647550227
24/8/2022,7488.11,7488.12,7410.4,7471.51,520868682
25/8/2022,7471.51,7535.7,7469.17,7479.74,519897868
26/8/2022,7479.74,7530.65,7422.02,7427.31,559184239
30/8/2022,7427.31,7486.4,7351.12,7361.63,427356473
31/8/2022,7361.63,7378.44,7263.62,7284.15,519928144
1/9/2022,7284.15,7284.15,7131.69,7148.5,779995945
2/9/2022,7148.5,7288.72,7148.5,7281.19,1041375544
5/9/2022,7281.19,7288.46,7191.17,7287.43,712059001
6/9/2022,7287.43,7324.19,7256.51,7300.44,664976466
7/9/2022,7300.44,7300.44,7186.56,7237.83,522190653
8/9/2022,7237.83,7273.01,7175.75,7262.06,736913726
9/9/2022,7262.06,7386.59,7262.06,7351.07,943332220
12/9/2022,7351.07,7483,7351.07,7473.03,571428968
13/9/2022,7473.03,7514.04,7385.86,7385.86,649637754
14/9/2022,7385.86,7385.86,7259.24,7277.3,732605537
15/9/2022,7277.3,7329,7258.67,7282.07,680378583
16/9/2022,7282.07,7297.1,7236.17,7236.68,739832889
20/9/2022,7236.68,7326.54,7171.24,7192.66,817727325
21/9/2022,7192.66,7258.87,7170.69,7237.64,1798517969
22/9/2022,7237.64,7243.9,7149.59,7159.52,970967338
23/9/2022,7159.52,7169.12,6981.5,7018.6,866446245
26/9/2022,7018.6,7071.11,6937.4,7020.95,692403517
27/9/2022,7020.95,7073.96,6984.59,6984.59,871722753
28/9/2022,6984.59,7011.5,6836.28,7005.39,1073588565
29/9/2022,7005.39,7005.39,6829.29,6881.59,1055690640
30/9/2022,6881.59,6954.92,6840.07,6893.81,1363254185
3/10/2022,6893.81,6923.75,6797.37,6908.76,1029591326
4/10/2022,6908.76,7088.17,6908.67,7086.46,1145006199
5/10/2022,7086.46,7086.46,6977.95,7052.62,1179966546
6/10/2022,7052.62,7079.74,6961.1,6997.27,919291618
7/10/2022,6997.27,7022.41,6960.36,6991.09,745625869
10/10/2022,6991.09,6999.2,6922.94,6959.31,747326333
11/10/2022,6959.31,6959.43,6860.31,6885.23,727419828
12/10/2022,6885.23,6916.94,6793.77,6826.15,831906522
13/10/2022,6826.15,6872.9,6707.62,6850.27,700713805
14/10/2022,6850.27,6976.3,6850.27,6858.79,929326403
17/10/2022,6858.79,6959.71,6850.43,6920.24,942667949
18/10/2022,6920.24,7017.4,6920.24,6936.74,846420854
19/10/2022,6936.74,6968.33,6890.66,6924.99,603505148
20/10/2022,6924.99,6954.21,6894.85,6943.91,636538799
21/10/2022,6943.91,6976.19,6864.13,6969.73,661119281
24/10/2022,6969.73,7047.37,6914.66,7013.99,701011697
25/10/2022,7013.99,7025.22,6949.24,7013.48,636209601
26/10/2022,7013.48,7057.42,6960.11,7056.07,585763245
27/10/2022,7056.07,7093.05,7034.24,7073.69,571114790
28/10/2022,7073.69,7073.69,6997.54,7047.67,635567891
31/10/2022,7047.67,7132.85,7030.12,7094.53,655707693
1/11/2022,7094.53,7221.32,7094.53,7186.16,673206113
2/11/2022,7186.16,7205.07,7130.5,7144.14,571239389
3/11/2022,7144.14,7188.63,7076.47,7188.63,593619845
4/11/2022,7188.63,7376.23,7188.63,7334.84,599630327
7/11/2022,7334.84,7346.66,7288,7299.99,662712049
8/11/2022,7299.99,7313.46,7244.83,7306.14,527611194
9/11/2022,7306.14,7307.8,7263.46,7296.25,575295117
10/11/2022,7296.25,7405.09,7253.36,7375.34,509379007
11/11/2022,7375.34,7408.61,7316.84,7318.04,736913168
14/11/2022,7318.04,7413.82,7317.57,7385.17,702177538
15/11/2022,7385.17,7413.01,7344.85,7369.44,567743344
16/11/2022,7369.44,7394.42,7341.59,7351.19,689213251
17/11/2022,7351.19,7354.07,7294.75,7346.54,599453458
18/11/2022,7346.54,7423.51,7343.5,7385.52,616502218
21/11/2022,7385.52,7402.79,7343.37,7376.85,686889624
22/11/2022,7376.85,7458.88,7373.56,7452.84,571057730
23/11/2022,7452.84,7498.34,7452.84,7465.24,488048467
24/11/2022,7465.24,7488.07,7443.46,7466.6,457633582
25/11/2022,7466.6,7497.23,7461.78,7486.67,378832043
28/11/2022,7486.67,7496.8,7420,7474.02,446329463
29/11/2022,7474.02,7543.09,7473.99,7512,484006284
30/11/2022,7512,7599.27,7512,7573.05,531412240
1/12/2022,7573.05,7599.7,7552.29,7558.49,570113947
2/12/2022,7558.49,7570.46,7507.98,7556.23,520473176
5/12/2022,7556.23,7598.21,7547.76,7567.54,452970294
6/12/2022,7567.54,7567.64,7521.39,7521.39,682409856
7/12/2022,7521.39,7567.23,7489.19,7489.19,684595560
8/12/2022,7489.19,7507.98,7469.12,7472.17,543668066
9/12/2022,7472.17,7498.04,7431.44,7476.63,541502405
12/12/2022,7476.63,7476.63,7438.87,7445.97,581019730
13/12/2022,7445.97,7553.36,7428.98,7502.89,650117681
14/12/2022,7502.89,7504.49,7461.68,7495.93,643492100
15/12/2022,7495.93,7495.93,7411.07,7426.17,581206512
16/12/2022,7426.17,7429.29,7305.72,7332.12,1535109774
19/12/2022,7332.12,7385.38,7332.12,7361.31,392209063
20/12/2022,7361.31,7389.92,7302.82,7370.62,454968943
21/12/2022,7370.62,7498.48,7368.72,7497.32,410247646
22/12/2022,7497.32,7540.31,7463.54,7469.28,393216673
23/12/2022,7469.28,7496.4,7462.8,7473.01,155408966
28/12/2022,7473.01,7547,7473.01,7497.19,400423941
29/12/2022,7497.19,7516.36,7434.64,7512.72,274551326
30/12/2022,7512.72,7512.92,7451.74,7451.74,249007400
3/1/2023,7451.74,7626.4,7448.69,7554.09,635054350
4/1/2023,7554.09,7609.25,7545.18,7585.19,678512522
5/1/2023,7585.19,7658.79,7564.7,7633.45,696904222
6/1/2023,7633.45,7700.81,7633.45,7699.49,632228276
9/1/2023,7699.49,7725.74,7688.69,7724.94,602157472
10/1/2023,7724.94,7724.94,7684.35,7694.49,512410587
11/1/2023,7694.49,7772.37,7694.35,7724.98,644962827
12/1/2023,7724.98,7809.13,7724.55,7794.04,692353995
13/1/2023,7794.04,7864.95,7793.55,7844.07,689252057
16/1/2023,7844.07,7867.23,7841.91,7860.07,500599762
17/1/2023,7860.07,7875.58,7830.35,7851.03,602350338
18/1/2023,7851.03,7867.43,7824.73,7830.7,575262311
19/1/2023,7830.7,7830.8,7726.23,7747.29,576363999
20/1/2023,7747.29,7790.87,7747.29,7770.59,561723613
23/1/2023,7770.59,7811.17,7768.47,7784.67,437938288
24/1/2023,7784.67,7800.89,7741.75,7757.36,520657247
25/1/2023,7757.36,7773.57,7710.78,7744.87,609276063
26/1/2023,7744.87,7787.57,7744.87,7761.11,627031470
27/1/2023,7761.11,7777.4,7742.12,7765.15,568096134
30/1/2023,7765.15,7790.69,7718.33,7784.87,607190449
31/1/2023,7784.87,7784.87,7708.34,7771.7,659436289
1/2/2023,7771.7,7798.51,7745.43,7761.11,582226082
2/2/2023,7761.11,7837.84,7758.51,7820.16,703283973
3/2/2023,7820.16,7906.58,7806.85,7901.8,619503486
6/2/2023,7901.8,7901.8,7808.39,7836.71,533330656
7/2/2023,7836.71,7890.82,7835.36,7864.71,621278951
8/2/2023,7864.71,7934.3,7864.66,7885.17,517142584
9/2/2023,7885.17,7949.57,7874.23,7911.15,542439715
10/2/2023,7911.15,7913.31,7850.94,7882.45,610879229
13/2/2023,7882.45,7947.6,7881.86,7947.6,496543320
14/2/2023,7947.6,7996.35,7947.6,7953.85,671998235
15/2/2023,7953.85,8003.65,7921.32,7997.83,734825467
16/2/2023,7997.83,8047.06,7978.61,8012.53,668401799
17/2/2023,8012.53,8012.53,7957.69,8004.36,822614147
20/2/2023,8004.36,8020.13,7995.46,8014.31,438854847
21/2/2023,8014.31,8014.4,7952.48,7977.75,615723947
22/2/2023,7977.75,7977.75,7879.03,7930.63,642546751
23/2/2023,7930.63,7935.56,7888.88,7907.72,825125281
24/2/2023,7907.72,7939.17,7870.39,7878.66,677863874
27/2/2023,7878.66,7949.97,7878.66,7935.11,574309403
28/2/2023,7935.11,7935.11,7854.82,7876.28,1182933360
1/3/2023,7876.28,7950.69,7874.34,7914.93,675386823
2/3/2023,7914.93,7945.82,7875.03,7944.04,779216737
3/3/2023,7944.04,7974.4,7920.07,7947.11,571631515
6/3/2023,7947.11,7948.67,7897.45,7929.79,545252040
7/3/2023,7929.79,7959.77,7909.77,7919.48,610426034
8/3/2023,7919.48,7946.62,7891.42,7929.92,622849807
9/3/2023,7929.92,7930.26,7862.01,7879.98,601557494
10/3/2023,7879.98,7879.98,7708.32,7748.35,946160563
13/3/2023,7748.35,7752.43,7546.02,7548.63,1067593681
14/3/2023,7548.63,7641.55,7503.25,7637.11,850279579
15/3/2023,7637.11,7637.39,7333.35,7344.45,1135517410
16/3/2023,7344.45,7458.64,7331.49,7410.03,992576738
17/3/2023,7410.03,7510.47,7309.3,7335.4,1819890552
20/3/2023,7335.4,7426.24,7206.82,7403.85,899447034
21/3/2023,7403.85,7557.55,7403.85,7536.22,707943956
22/3/2023,7536.22,7585.57,7505.48,7566.84,637390751
23/3/2023,7566.84,7566.84,7476.13,7499.6,699369510
24/3/2023,7499.6,7499.6,7335.71,7405.45,804567223
27/3/2023,7405.45,7491.74,7405.45,7471.77,546267737
28/3/2023,7471.77,7524.55,7464.61,7484.25,523910817
29/3/2023,7484.25,7566.8,7484.21,7564.27,525767184
30/3/2023,7564.27,7638.49,7564.27,7620.43,518149505
31/3/2023,7620.43,7654.41,7616.09,7631.74,755435468
3/4/2023,7631.74,7698.15,7631.74,7673,618849131
4/4/2023,7673,7726.85,7634.52,7634.52,703098867
5/4/2023,7634.52,7678.45,7634.26,7662.94,614464467
6/4/2023,7662.94,7742.11,7654.54,7741.56,551341996
11/4/2023,7741.56,7806.39,7741.56,7785.72,518025
12/4/2023,7785.72,7859.67,7783.4,7824.84,628074133
13/4/2023,7824.84,7851.57,7814.11,7843.38,633426093
14/4/2023,7843.38,7904.04,7843.38,7871.91,581086536
17/4/2023,7871.91,7916.67,7871.91,7879.51,550120670
18/4/2023,7879.51,7912.73,7879.51,7909.44,510135578
19/4/2023,7909.44,7909.44,7871.43,7898.77,507659691
20/4/2023,7898.77,7902.95,7876.35,7902.61,495205935
21/4/2023,7902.61,7936.11,7886.46,7914.13,629759054
24/4/2023,7914.13,7927.11,7877.58,7912.2,597142233
25/4/2023,7912.2,7912.52,7863.85,7891.13,463557248
26/4/2023,7891.13,7893.95,7825.93,7852.64,522014475
27/4/2023,7852.64,7865.73,7816.83,7831.58,624968001
28/4/2023,7831.58,7870.57,7791.63,7870.57,622605202
2/5/2023,7870.57,7898.69,7773.03,7773.03,694646251
3/5/2023,7773.03,7819.66,7773.03,7788.37,670255774
4/5/2023,7788.37,7788.37,7691.25,7702.64,738035306
5/5/2023,7702.64,7781.54,7702.64,7778.38,604511846
9/5/2023,7778.38,7792.35,7735.08,7764.09,530093408
10/5/2023,7764.09,7778.98,7727.12,7741.33,573612784
11/5/2023,7741.33,7784.28,7679.61,7730.58,439409666
12/5/2023,7730.58,7772.79,7729.01,7754.62,580881177
15/5/2023,7754.62,7794.89,7754.62,7777.7,513448443
16/5/2023,7777.7,7804.93,7741.29,7751.08,457941622
17/5/2023,7751.08,7758.15,7713.03,7723.23,748248873
